Hour,Buy Price (Rs/kWh),Sell Price (Rs/kWh),Total Sell (kW),Total Buy (kW)
0,5.875180356786661,3.2462070410990522,0.0,4.213404291432749
1,5.875180356786661,3.2462070410990522,0.0,4.300169955645975
2,5.875180356786661,3.2462070410990522,0.0,4.248736243840248
3,5.875180356786661,3.2462070410990522,0.0,4.3333097877246995
4,5.875180356786661,3.2462070410990522,0.0,5.139011948374416
5,5.875180356786661,3.2462070410990522,0.0,7.575296172461581
6,5.875180356786661,3.2462070410990522,0.0,9.870375700846113
7,5.875180356786661,3.2462070410990522,0.28934269871520535,8.681823092139533
8,5.875180356786661,3.2462070410990522,3.077651268991717,5.9462079013049145
9,5.875180356786661,3.2462070410990522,10.01737850457958,3.500206834824461
10,5.875180356786661,3.2462070410990522,17.615500759680337,2.0281867603503763
11,5.875180356786661,3.2462070410990522,22.2693933938363,1.3451748942435922
12,5.875180356786661,3.2462070410990522,22.72519554881843,1.0497841413162072
13,5.875180356786661,3.2462070410990522,21.024512034974936,1.076469966785118
14,5.875180356786661,3.2462070410990522,17.996656468999685,1.1591774288857424
15,5.875180356786661,3.2462070410990522,11.988256398020123,1.496623042538987
16,5.875180356786661,3.2462070410990522,3.999547126966937,2.846382336873271
17,5.875180356786661,3.2462070410990522,0.05210236068240898,11.661869790479294
18,5.875180356786661,3.2462070410990522,0.0,23.964442891176795
19,5.875180356786661,3.2462070410990522,0.0,29.857429556541533
20,5.875180356786661,3.2462070410990522,0.0,31.401475536327624
21,5.875180356786661,3.2462070410990522,0.0,26.074673462646608
22,5.875180356786661,3.2462070410990522,0.0,17.828232552897468
23,5.875180356786661,3.2462070410990522,0.0,10.947346243867571
