Hour,Buy Price (Rs/kWh),Sell Price (Rs/kWh),Total Sell (kW),Total Buy (kW)
0,5.875180356786661,5.875180356786661,0.0,4.213404291432749
1,5.875180356786661,5.875180356786661,0.0,4.300169955645975
2,5.875180356786661,5.875180356786661,0.0,4.248736243840247
3,5.875180356786661,5.875180356786661,0.0,4.3333097877246995
4,5.875180356786661,5.875180356786661,0.0,5.139011948374416
5,5.875180356786661,5.875180356786661,0.0,7.57529617246158
6,5.4792256771766406,5.4792256771766406,0.0,9.870375700846113
7,4.978048534315381,4.978048534315381,0.28934269871520535,8.681823092139535
8,4.674469581329538,4.674469581329538,3.0776512689917164,5.946207901304914
9,4.311393187096608,4.311393187096608,10.017378504579579,3.500206834824461
10,3.9298562332025604,3.9298562332025604,17.615500759680337,2.0281867603503763
11,3.697125205626487,3.697125205626487,22.2693933938363,1.3451748942435922
12,3.6309855945350513,3.6309855945350513,22.725195548818427,1.0497841413162072
13,3.649574193879406,3.649574193879406,21.024512034974936,1.076469966785118
14,3.72121998333472,3.72121998333472,17.99665646899969,1.1591774288857424
15,3.9635303302122766,3.9635303302122766,11.988256398020123,1.496623042538987
16,4.491342324874196,4.491342324874196,3.9995471269669367,2.846382336873271
17,5.312942250281711,5.312942250281711,0.05210236068240898,11.661869790479297
18,5.875180356786661,5.875180356786661,0.0,23.964442891176798
19,5.875180356786661,5.875180356786661,0.0,29.857429556541533
20,5.875180356786661,5.875180356786661,0.0,31.401475536327624
21,5.875180356786661,5.875180356786661,0.0,26.074673462646608
22,5.875180356786661,5.875180356786661,0.0,17.828232552897468
23,5.875180356786661,5.875180356786661,0.0,10.947346243867571
