buy_price,sell_price,spread,label,mechanism,community_savings_pct,consumer_delta_pct,prosumer_delta_pct,fairness
4.5,3.5,1.0,Narrow (1.0 Rs),BSM,3.0929453159829032,2.9110500148570444,3.4661899820512723,0.912949807851624
4.5,3.5,1.0,Narrow (1.0 Rs),MMR,4.308587467835009,3.489832273876777,5.9886529069594205,0.7363691998093556
4.5,3.5,1.0,Narrow (1.0 Rs),SDR,2.9858338791519468,3.997849696383571,0.9092024135751822,0.37056969989973876
4.5,3.5,1.0,Narrow (1.0 Rs),SDR-DSM,7.319805075961725,2.857961135747121,16.47539865758073,0.2956507473766261
5.5,3.4,2.1,Medium-low (2.1 Rs),BSM,4.76231749119772,5.00171320734527,4.399436610122252,0.9359358579692122
5.5,3.4,2.1,Medium-low (2.1 Rs),MMR,6.634084784620714,5.996166361479175,7.60105446632226,0.8819694020528346
5.5,3.4,2.1,Medium-low (2.1 Rs),SDR,4.5798413367599995,6.892544352276565,1.0741992081455347,0.269670838621492
5.5,3.4,2.1,Medium-low (2.1 Rs),SDR-DSM,11.25688928365724,4.928706318628288,20.849277346865076,0.38239657398299154
6.0,3.4,2.6,Default (2.6 Rs),BSM,5.229538982551011,5.676547528971235,4.6046566643642475,0.895742673295259
6.0,3.4,2.6,Default (2.6 Rs),MMR,7.284941640041118,6.805172934059701,7.955620050080466,0.9220606157691575
6.0,3.4,2.6,Default (2.6 Rs),SDR,5.021765581437981,7.832102467475536,1.0931386182702385,0.24495441818228947
6.0,3.4,2.6,Default (2.6 Rs),SDR-DSM,12.355464936266783,5.6011071800877055,21.79751870983411,0.40886044452642134
7.0,3.2,3.8,Medium-high (3.8 Rs),BSM,6.128651395180838,7.111279322007917,4.949932870632884,0.8208018881788193
7.0,3.2,3.8,Medium-high (3.8 Rs),MMR,8.537438557207146,8.525161697613255,8.552165354025673,0.998418742211285
7.0,3.2,3.8,Medium-high (3.8 Rs),SDR,5.863643685163581,9.839792367499182,1.094025419418338,0.20011773401369426
7.0,3.2,3.8,Medium-high (3.8 Rs),SDR-DSM,14.462639596068366,7.0384374129025415,23.36839568580622,0.46295103408647686
8.0,3.0,5.0,Wide (5.0 Rs),BSM,6.730369136505651,8.18732816678542,5.150770429997666,0.7723395344151635
8.0,3.0,5.0,Wide (5.0 Rs),MMR,9.375653674056778,9.815153270278419,8.899159154118776,0.9510538193796237
8.0,3.0,5.0,Wide (5.0 Rs),SDR,6.4175616728261815,11.35621133142731,1.0632006712513642,0.17121594346599345
8.0,3.0,5.0,Wide (5.0 Rs),SDR-DSM,15.865015185035281,8.124594300764961,24.256986793373994,0.5018034343285729
10.0,2.5,7.5,Very wide (7.5 Rs),BSM,7.5464540118738,9.824793800142519,5.391726564052577,0.7086674791807368
10.0,2.5,7.5,Very wide (7.5 Rs),MMR,10.51249015433043,11.778183924334124,9.315467163815226,0.8832484357444536
10.0,2.5,7.5,Very wide (7.5 Rs),SDR,7.1466520606717365,13.686232137620497,0.9618798148540997,0.13133157616616087
10.0,2.5,7.5,Very wide (7.5 Rs),SDR-DSM,17.748123259607205,9.79472837871603,25.27000315717927,0.5586655280055381
