alpha,community_savings_pct,consumer_delta_pct,prosumer_delta_pct,fairness,energy_shifted_kwh,iterations
0.05,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
0.08,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
0.1,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
0.12,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
0.15,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
0.2,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
0.3,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
0.5,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
1.0,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,447.30718160172876,8
2.0,13.394089050343396,15.340273853470663,9.904198832984676,0.7846627621107998,439.7471819740839,8
3.0,12.575610030240808,15.382056439151953,7.5431024018477535,0.6580632617932856,417.61163696874087,8
5.0,10.957188104259812,15.45057660482666,2.899663173573728,0.3160354533708961,387.9507794042407,8
8.0,9.457215177334257,15.585783945571036,-1.532507975529657,5.841704897591171e-11,310.5213006469765,8
10.0,8.884604866675206,15.830323327191515,-3.5704275993750487,5.1544435386574605e-11,267.31002738879613,8
15.0,8.151842020948134,16.41476591647677,-6.665197565142591,4.332767478132382e-11,195.19764636544585,8
20.0,7.72672277038155,16.6984607579768,-8.361359196604532,3.9904524129497077e-11,150.0273371009491,8
