iteration,max_change_kw,community_savings_pct,consumer_delta_pct,prosumer_delta_pct,fairness,energy_shifted_kwh
1,0.19100897244261283,6.315413791076761,17.321414775836462,-13.420499831942912,3.252886848770231e-11,169.27185522200784
2,0.22262612101775736,8.746515472927603,16.37611492097771,-4.934849438220767,4.6924242269597016e-11,267.87930286927445
3,0.2345402576812039,10.434362017059053,15.951069667551135,0.5418255885843424,0.06570412054850427,332.799356386584
4,0.22662883069476675,11.4815126477944,15.669814064666138,3.971068563243295,0.4043676283568107,377.7904375424538
5,0.25274996484832135,12.212769260013806,15.477411969156668,6.358625996999087,0.5823974117523781,400.76062143725335
6,0.250513838212857,12.769677789648986,15.44962696209147,7.964004461557547,0.6802878475035131,424.515885649221
7,0.2510292399725018,13.110072152453759,15.357321509016735,9.080314272918047,0.7431417960455066,436.50502534869605
8,0.25225239174163405,13.34685353431716,15.304098665641384,9.837129984012163,0.78254966145073,447.30718160172876
9,0.23489388034480907,13.523420810778491,15.330289161431324,10.283352256720391,0.8029590239778535,449.63320624543786
10,0.22512654824115985,13.668184578373197,15.25196758815949,10.828151697944461,0.8303759334259445,462.9039734573765
11,0.26002276676137853,13.706037811819439,15.262282542040289,10.915386455850198,0.8339464034641767,456.85575679147365
12,0.2460898408276877,13.792677269920217,15.276440640020752,11.131999177136592,0.8430637519133328,463.4095336312663
13,0.2387459843936688,13.837307408440171,15.203013772037108,11.388328631890857,0.8565440931090675,466.339275552578
14,0.2285027587730305,13.838873592602544,15.201615642633831,11.39521041038799,0.8568849822713993,466.33969412175566
15,0.2677906411877067,13.867040551165783,15.274503309681842,11.343184386864703,0.8523042659644886,464.23327397842667
