hour,avg_load_kw
0,0.13753278273809524
1,0.12727216369047617
2,0.11718811011904762
3,0.11610328571428571
4,0.11588809523809525
5,0.1267696755952381
6,0.16496602083333334
7,0.20625170238095242
8,0.22836477976190478
9,0.24709225297619047
10,0.2257890773809524
11,0.20164623511904764
12,0.19819631547619052
13,0.18646492559523814
14,0.16244337797619052
15,0.14918552678571428
16,0.14040038392857143
17,0.14360605654761904
18,0.16963369642857143
19,0.19675803571428574
20,0.21414491666666668
21,0.21681261309523808
22,0.19379394642857142
23,0.1601919910714286
